,checkin_day,checkin_month,checkin_year,checkout_day,checkout_month,checkout_year,listing_id,unit_id,property_id,area_id,type_1.0,type_2.0,type_3.0,type_4.0,type_5.0,design_0.0,design_1.0,design_2.0,design_3.0,design_4.0,design_5.0,usd
61,7,10,2018,8,10,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,12.14
62,24,10,2018,26,10,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,12.13
63,17,8,2018,20,8,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,14.58
64,15,9,2018,25,9,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,14.41
65,11,8,2018,14,8,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,16.75
66,17,11,2018,20,11,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,12.61
67,31,12,2018,1,1,2019,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,15.48
68,1,1,2019,2,1,2019,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,15.48
69,6,10,2018,7,10,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,12.14
70,30,8,2018,31,8,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,14.53
71,10,9,2018,11,9,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,14.37
72,11,9,2018,13,9,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,14.35
73,14,8,2018,17,8,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,15.97
74,8,3,2019,9,3,2019,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,15.58
75,7,9,2018,8,9,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,14.4
76,22,10,2018,23,10,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,12.13
77,23,11,2018,24,11,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,12.68
78,8,9,2018,10,9,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,14.4
79,24,11,2018,30,11,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,12.68
80,20,8,2018,22,8,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,14.63
81,11,10,2018,14,10,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,12.1
82,2,9,2018,4,9,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,14.43
83,20,12,2018,28,12,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,12.76
84,2,12,2018,8,12,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,12.89
85,3,3,2019,5,3,2019,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,15.81
86,2,10,2019,3,10,2019,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,15.72
87,13,12,2018,17,12,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,12.7
88,27,9,2018,30,9,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,14.97
89,13,9,2018,15,9,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,14.42
90,20,7,2019,21,7,2019,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,15.99
91,18,10,2018,20,10,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,12.13
92,25,8,2018,30,8,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,14.59
93,31,10,2018,1,11,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,12.12
94,5,3,2019,6,3,2019,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,15.79
95,5,7,2019,7,7,2019,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,16.14
96,27,10,2018,28,10,2018,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,12.12
97,17,1,2019,19,1,2019,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,13.0
98,8,1,2019,13,1,2019,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,13.03
99,20,5,2019,24,5,2019,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,15.41
100,3,10,2019,4,10,2019,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,15.77
101,21,7,2019,27,7,2019,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,15.99
102,28,10,2019,30,10,2019,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,15.18
103,23,6,2019,26,6,2019,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,15.79
104,20,9,2019,24,9,2019,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,7.94
105,10,6,2019,15,6,2019,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,15.66
106,10,12,2019,16,12,2019,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,15.24
107,5,6,2019,6,6,2019,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,15.71
108,1,7,2019,3,7,2019,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,15.81
109,8,7,2019,11,7,2019,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,15.81
110,7,7,2019,8,7,2019,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,14.77
111,15,6,2019,19,6,2019,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,15.58
112,4,1,2020,6,1,2020,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,16.0
113,21,6,2019,23,6,2019,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,15.79
114,26,12,2019,30,12,2019,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,15.73
115,11,7,2019,15,7,2019,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,15.34
116,13,5,2019,14,5,2019,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,15.48
117,27,2,2019,28,2,2019,3,1,1,1,0,0,0,1,0,0,1,0,0,0,0,15.91
118,18,12,2018,21,12,2018,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,15.41
119,20,10,2018,21,10,2018,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,0.0
120,31,12,2018,2,1,2019,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,16.83
121,12,1,2019,13,1,2019,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,13.08
122,1,10,2018,3,10,2018,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,14.31
123,16,11,2018,19,11,2018,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,12.61
124,6,11,2018,7,11,2018,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,15.54
125,28,11,2018,30,11,2018,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,0.0
126,30,4,2019,1,5,2019,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,13.64
127,19,11,2018,20,11,2018,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,12.63
128,30,1,2019,1,2,2019,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,15.79
129,28,2,2019,1,3,2019,4,3,1,1,0,0,0,1,0,0,1,0,0,0,0,15.85
